ECO Number,Part Number,Change Type,Old Value,New Value,Reason Code,Requested By,Priority,Notes
ECO-2026-047,COMM-MOD-500,Substitute,Sierra Wireless RV55,Telit ME910C1-WW,Supply Risk,Priya Nair — Supply Chain,Critical,Sierra Wireless filed Chapter 15 bankruptcy protection in Jan 2026. Allocation frozen. Telit is approved alternate but requires antenna impedance revalidation and updated AT command firmware library. 14-week NPI required.
ECO-2026-047,ANT-501,Substitute,Taoglas FXP73,Taoglas MA151,Supply Risk,Priya Nair — Supply Chain,Critical,Antenna swap required to match Telit module impedance spec. Same supplier — Taoglas — but different part. 50-ohm vs 75-ohm termination. Form factor identical. Mechanical fit confirmed.
ECO-2026-047,MCU-201,Substitute,STM32H743VIT6,STM32H753VIT6,Performance,Marcus Webb — Firmware,High,H753 adds AES-256 hardware acceleration required for upcoming FedRAMP compliance certification. Pin-compatible. BSP changes needed. Estimated 3-week firmware delta.
ECO-2026-047,FLASH-202,Modify,64MB W25Q512JVFIQ,128MB W25Q01JVFIQ,Performance,Marcus Webb — Firmware,High,Doubling flash to support encrypted firmware partition required by FedRAMP. Same Winbond family. Same footprint. SPI driver compatible. Unit cost increase $2.40.
ECO-2026-047,VREG-401,Substitute,Vicor DCM 5V 15W,Murata OKI-78SR-5/1.5-W36H,Cost Reduction,Sandra Ortiz — Engineering,Normal,Vicor lead time has extended to 56 days and unit cost increased 18% in Q1 2026 pricing. Murata equivalent tested and approved by EE team. 15% cost reduction. Lead time drops to 21 days. 4-week production validation run required.
ECO-2026-047,GSKT-302,Modify,Silicone Shore 50A,Silicone Shore 60A,Quality Issue,Field Engineering,High,3 field returns in Q4 2025 showed gasket compression set failure after thermal cycling. Harder durometer maintains IP67 seal integrity over wider temp range. Same supplier SealTech. Same part envelope. IP67 retest required before release.
ECO-2026-047,LABEL-700,Modify,CE Mark Rev 3,CE Mark Rev 4,Regulatory,Compliance Team,Normal,EU Radio Equipment Directive update requires revised CE declaration of conformity referencing EN 303 413 standard. Label artwork update only. No physical changes. Regulatory approval in progress — expected April 15 2026.
ECO-2026-047,CAP-208,Qty Change,6,8,Quality Issue,Marcus Webb — Firmware,Normal,Two additional bulk caps needed on MCU power rail to meet H753 transient response spec during AES acceleration bursts. Existing footprint has unpopulated pads DNP'd on current board revision. No PCB change required. BOM qty update only.
ECO-2026-047,CONN-206,Remove,USB-C Receptacle Molex 105450,Removed from BOM,Cost Reduction,Sandra Ortiz — Engineering,Low,Field data shows USB-C port used in <2% of deployed units after initial commissioning. Removal saves $0.95 unit cost and eliminates ESD failure mode seen in 4 RMAs. Firmware update to disable USB enumeration required. Config workflow moves fully to Ethernet.
ECO-2026-047,PCB-MAIN-200,Modify,Rev B Gerbers,Rev C Gerbers,Quality Issue,Marcus Webb — Firmware,Critical,PCB revision required to accommodate: (1) MCU upgrade footprint pad refinement, (2) 2 additional cap placements, (3) USB-C removal and pad fill, (4) minor trace re-route on power plane for H753 AES block. Full DFM review and first article inspection required. 8-week PCB re-spin lead time from Apex Circuit Works.
